ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY
882024,2006,2006/01/07 05:00:00+00,2325,STEELES AVE E,NINTH LINE ST,Minor Arterial,Scarborough,25,43.842745,-79.22479,Mid-Block,Intersection Related,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,50,Fatal
882497,2006,2006/01/08 05:00:00+00,1828,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,Etobicoke York,1,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,53,Non-Fatal
882174,2006,2006/01/09 05:00:00+00,1435,KENNEDY RD,GLAMORGAN AVE,Major Arterial,Scarborough,21,43.769445,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75,Non-Fatal
882501,2006,2006/01/11 05:00:00+00,1120,BARTLEY DR,JINNAH CRT,Collector,North York,16,43.722045,-79.30799,Intersection,Intersection Related,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,17,Fatal
886230,2006,2006/01/21 05:00:00+00,1829,MIDLAND AVE,GOODLAND GT,Major Arterial,Scarborough,2223,43.779345,-79.27559,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,52,Fatal
884560,2006,2006/01/24 05:00:00+00,145,WARDEN AVE,LAWRENCE AVE E,Major Arterial,Scarborough,21,43.745345,-79.29469,Intersection,Intersection Related,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Driver,37,Fatal
884756,2006,2006/01/24 05:00:00+00,754,DEAN PARK RD,BRAYMORE BLVD,Collector,Scarborough,25,43.803445,-79.17069,Intersection,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,77,Fatal
884714,2006,2006/01/24 05:00:00+00,2220,MOUNT PLEASANT RD,WHITEHALL RD,Major Arterial,Toronto and East York,11,43.684045,-79.38349,Intersection,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,45,Non-Fatal
885650,2006,2006/01/29 05:00:00+00,2048,F G GARDINER XY W  W,KIPLING AVE,Non-Fatal,Etobicoke York,3,43.618245,-79.52439,Mid-Block,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,18,Fatal
888497,2006,2006/02/15 05:00:00+00,935,WESTWOOD AVE,WOODYCREST AVE,Local,Toronto and East York,14,43.687345,-79.34469,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
889218,2006,2006/02/20 05:00:00+00,1840,NEILSON RD,MCLEVIN AVE,Minor Arterial,Scarborough,2325,43.808145,-79.21999,Mid-Block,Intersection Related,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,82,Fatal
890506,2006,2006/02/27 05:00:00+00,501,MARTIN GROVE RD,RACINE RD,Major Arterial,Etobicoke York,1,43.717145,-79.58259,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,32,Fatal
891993,2006,2006/03/06 05:00:00+00,2222,F G GARDINER XY  W,PARK LAWN RD,Non-Fatal,Etobicoke York,3,43.627745,-79.48149,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Sideswipe,Passenger,18,Fatal
892453,2006,2006/03/08 05:00:00+00,2018,F G GARDINER XY E  E,KIPLING AVE,Non-Fatal,Etobicoke York,3,43.618845,-79.52039,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Rear End,Passenger,7,Fatal
892658,2006,2006/03/11 05:00:00+00,852,BLOOR ST W,DUNDAS ST W,Major Arterial,Toronto and East York,4,43.656345,-79.45249,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
892810,2006,2006/03/11 05:00:00+00,915,MORNINGSIDE AVE,SHEPPARD AVE E,Major Arterial,Scarborough,25,43.801943,-79.199786,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,72,Non-Fatal
892682,2006,2006/03/12 05:00:00+00,240,EGLINTON AVE E,COMMONWEALTH AVE,Major Arterial,Scarborough,2120,43.734945,-79.25619,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,42,Fatal
893251,2006,2006/03/15 05:00:00+00,1535,ISLINGTON AVE,DIXON RD,Major Arterial,Etobicoke York,12,43.697045,-79.54669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,20,Non-Fatal
897664,2006,2006/04/15 04:00:00+00,2000,YONGE ST,BREADALBANE ST,Major Arterial,Toronto and East York,13,43.663745,-79.38409,Intersection,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,42,Fatal
897916,2006,2006/04/18 04:00:00+00,1930,WARDEN AVE,COMSTOCK RD,Major Arterial,Scarborough,20,43.721545,-79.28499,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Passenger,32,Fatal
898340,2006,2006/04/20 04:00:00+00,843,AVENUE RD,CORTLEIGH BLVD,Major Arterial,North York,8,43.713045,-79.41179,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,48,Fatal
898350,2006,2006/04/20 04:00:00+00,2053,KEELE ST,FINCH AVE W,Major Arterial,Etobicoke York,76,43.763445,-79.49099,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Cyclist Collisions,Cyclist,18,Fatal
900120,2006,2006/04/29 04:00:00+00,2136,MILLWICK DR,MILVAN DR,Collector,Etobicoke York,7,43.758145,-79.55959,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,42,Fatal
900159,2006,2006/04/30 04:00:00+00,857,QUEEN ST E,FatalLLINGBROOK RD,Collector,Scarborough,20,43.675345,-79.27639,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,SMV Other,Driver,7,Fatal
900756,2006,2006/05/03 04:00:00+00,1032,DUNDAS ST W,SHAW ST,Major Arterial,Toronto and East York,1110,43.649845,-79.41829,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,32,Non-Fatal
903449,2006,2006/05/17 04:00:00+00,1810,STILECROFT DR,SENTINEL RD,Local,North York,6,43.750745,-79.49259,Mid-Block,Intersection Related,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,58,Fatal
904456,2006,2006/05/23 04:00:00+00,1840,BATHURST ST,GLENCAIRN AVE,Major Arterial,North York,8,43.712345,-79.42809,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,22,Non-Fatal
905761,2006,2006/05/30 04:00:00+00,2328,ROSEDALE VALLEY RD,BAYVIEW AVE,Minor Arterial,Toronto and East York,1113,43.671645,-79.36609,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,72,Fatal
906207,2006,2006/06/02 04:00:00+00,734,KINGSTON RD,DUNDAS ST E,Major Arterial,Toronto and East York,19,43.669945,-79.31119,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,32,Fatal
906767,2006,2006/06/05 04:00:00+00,1906,BLOOR ST W,HAVELOCK ST,Major Arterial,Toronto and East York,9,43.660445,-79.43239,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85,Non-Fatal
907646,2006,2006/06/10 04:00:00+00,934,MIDLAND AVE,ROMULUS DR,Major Arterial,Scarborough,21,43.747045,-79.26339,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Passenger,82,Fatal
909261,2006,2006/06/19 04:00:00+00,1208,LAKE SHORE BLVD W,FIFTH ST,Major Arterial,Etobicoke York,3,43.601245,-79.50299,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
909409,2006,2006/06/20 04:00:00+00,2055,BARTLEY DR,TISDALE AVE,Collector,North York,16,43.722245,-79.30709,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,SMV Unattended Vehicle,Motorcycle Driver,77,Fatal
914314,2006,2006/07/19 04:00:00+00,2230,BLOOR ST W,LANSDOWNE AVE,Major Arterial,Toronto and East York,9,43.658345,-79.44269,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
914846,2006,2006/07/23 04:00:00+00,1357,VICTORIA PARK AVE,BISCAYNE BLVD,Major Arterial,North York,1621,43.729145,-79.30449,Intersection,Intersection Related,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,52,Fatal
915991,2006,2006/07/28 04:00:00+00,1626,ISLINGTON AVE,DIXON RD,Major Arterial,Etobicoke York,2,43.694445,-79.54549,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,42,Fatal
916024,2006,2006/07/30 04:00:00+00,2155,F G GARDINER XY Ramp W,GARDINER W S KINGSWAY RAMP,Major Arterial,Toronto and East York,4,43.634645,-79.47159,Exit Ramp Westbound,Intersection Related,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,37,Non-Fatal
916630,2006,2006/08/01 04:00:00+00,2345,NEILSON RD,WICKSON TRL,Minor Arterial,Scarborough,2325,43.802045,-79.21779,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,63,Non-Fatal
917154,2006,2006/08/03 04:00:00+00,130,JANE ST,FOXWELL ST,Major Arterial,Etobicoke York,5,43.672145,-79.49399,Mid-Block,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,7,Fatal
919332,2006,2006/08/18 04:00:00+00,1639,SCARBOROUGH GOLF CLUB RD,BRIMORTON DR,Minor Arterial,Scarborough,24,43.769845,-79.21869,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,Passenger,72,Fatal
919330,2006,2006/08/18 04:00:00+00,2100,BELLAMY RD N,PROGRESS AVE,Minor Arterial,Scarborough,24,43.780145,-79.24379,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,72,Fatal
919641,2006,2006/08/19 04:00:00+00,1335,ELLESMERE RD,POLLARD DR,Major Arterial,Scarborough,21,43.758345,-79.31299,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
919516,2006,2006/08/19 04:00:00+00,2345,QUEEN ST E,LESLIE ST,Minor Arterial,Toronto and East York,14,43.663245,-79.33019,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,28,Non-Fatal
920502,2006,2006/08/25 04:00:00+00,2330,LESLIE ST,COLDWATER RD,Major Arterial,North York,1516,43.755245,-79.36049,Mid-Block,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,77,Fatal
920690,2006,2006/08/27 04:00:00+00,1928,F G GARDINER XY  W,BATHURST ST,Major Arterial,Toronto and East York,10,43.637945,-79.40389,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Motorcycle Driver,72,Fatal
922948,2006,2006/09/09 04:00:00+00,308,MORNINGSIDE AVE,SHEPPARD AVE E,Major Arterial,Scarborough,25,43.801945,-79.19979,Intersection,Intersection Related,Traffic Signal,Clear,Dark,Wet,Fatal,Angle,Passenger,72,Fatal
923394,2006,2006/09/11 04:00:00+00,1629,EGLINTON AVE E,LESLIE ST,Major Arterial,North York,15,43.715945,-79.35349,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,72,Fatal
925837,2006,2006/09/22 04:00:00+00,2158,BRIMLEY RD,WETHERBY DR,Major Arterial,Scarborough,21,43.738745,-79.24919,Intersection,At Intersection,No Control,Rain,Dark,Wet,Fatal,SMV Other,Driver,72,Fatal
930890,2006,2006/10/18 04:00:00+00,2136,OLD FINCH AVE,REESOR RD,Collector,Scarborough,25,43.824745,-79.19059,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,72,Fatal
933173,2006,2006/10/29 04:00:00+00,35,HIGHWAY 27  N,HUMBER COLLEGE BLVD,Major Arterial,Etobicoke York,1,43.730445,-79.60139,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
936341,2006,2006/11/04 05:00:00+00,1805,BIRCHMOUNT RD,IVY BUSH AVE,Major Arterial,Scarborough,22,43.810745,-79.31209,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,53,Fatal
935742,2006,2006/11/11 05:00:00+00,638,F G GARDINER XY  W,GARDINER W LAKE SHORE W RAMP,Non-Fatal,Etobicoke York,3,43.629745,-79.47859,Mid-Block,Intersection Related,No Control,Clear,Dark,Wet,Fatal,Sideswipe,Driver,17,Fatal
939458,2006,2006/11/30 05:00:00+00,720,WILSON AVE,BATHURST ST,Major Arterial,North York,6,43.737345,-79.43409,Intersection,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,14,Fatal
940637,2006,2006/12/07 05:00:00+00,1545,BRIMLEY RD,HUNTINGWOOD DR,Major Arterial,Scarborough,23,43.795845,-79.27219,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
940775,2006,2006/12/08 05:00:00+00,1719,JANE ST,BEXLEY CRES,Major Arterial,Etobicoke York,5,43.680545,-79.49759,Intersection,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
943986,2006,2006/12/23 05:00:00+00,1809,O CONNOR DR,LEAFY WOODWAY,Major Arterial,North York,16,43.722245,-79.30359,Intersection,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
944038,2006,2006/12/24 05:00:00+00,850,MARKHAM RD,PAINTED POST DR,Major Arterial,Scarborough,24,43.767545,-79.22839,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Driver,13,Fatal
945089,2007,2007/01/02 05:00:00+00,1750,VICTORIA PARK AVE,HARE GT,Major Arterial,North York,1722,43.795945,-79.33269,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,52,Fatal
951370,2007,2007/02/05 05:00:00+00,523,CALEDONIA RD,CASTLEFIELD AVE,Minor Arterial,North York,8,43.698445,-79.46349,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,37,Fatal
952529,2007,2007/02/11 05:00:00+00,202,KIPLING AVE,ADVANCE RD,Major Arterial,Etobicoke York,3,43.632645,-79.53159,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
953178,2007,2007/02/14 05:00:00+00,700,MCNICOLL AVE,WARDEN AVE,Minor Arterial,Scarborough,22,43.806045,-79.32219,Mid-Block,Intersection Related,No Control,Snow,Dark,Packed Snow,Fatal,Pedestrian Collisions,Pedestrian,3,Fatal
954405,2007,2007/02/19 05:00:00+00,1358,SPADINA AVE,WILLISON SQ,Major Arterial,Toronto and East York,10,43.652345,-79.39779,Intersection,Intersection Related,No Control,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,26,Fatal
957092,2007,2007/03/06 05:00:00+00,145,F G GARDINER XY  W,PARKSIDE DR,Major Arterial,Toronto and East York,4,43.638945,-79.45759,Mid-Block,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Rear End,Driver,75,Fatal
957566,2007,2007/03/07 05:00:00+00,1027,STEELES AVE W,GIHON SPRING DR,Major Arterial,Etobicoke York,1,43.759345,-79.59689,Intersection,Intersection Related,No Control,Clear,Daylight,Other,Fatal,Approaching,Driver,82,Fatal
957966,2007,2007/03/09 05:00:00+00,1724,O CONNOR DR,PAPE AVE,Major Arterial,Toronto and East York,14,43.693245,-79.35029,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,42,Non-Fatal
961870,2007,2007/03/30 04:00:00+00,2120,YONGE ST,SCRIVENER SQ,Major Arterial,Toronto and East York,11,43.680445,-79.39099,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
962132,2007,2007/03/31 04:00:00+00,643,BIRCHMOUNT RD,MERRYFIELD DR,Major Arterial,Scarborough,21,43.751145,-79.28629,Mid-Block,Intersection Related,No Control,Clear,Dawn,Dry,Fatal,Approaching,Driver,72,Fatal
962372,2007,2007/04/02 04:00:00+00,2108,QUEEN ST W,LANSDOWNE AVE,Major Arterial,Toronto and East York,4,43.640645,-79.43649,Intersection,Intersection Related,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,82,Fatal
963778,2007,2007/04/11 04:00:00+00,2034,STEELES AVE W,MARKBROOK LANE,Major Arterial,Etobicoke York,1,43.760345,-79.58349,Mid-Block,Intersection Related,No Control,Rain,Dark,Wet,Fatal,Approaching,Driver,72,Fatal
964835,2007,2007/04/17 04:00:00+00,1603,149 SHELDON AVE,Non-Fatal,Local,Etobicoke York,3,43.602645,-79.54319,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,72,Fatal
965369,2007,2007/04/22 04:00:00+00,4,WARDEN AVE,SHEPPARD AVE E,Major Arterial,Scarborough,22,43.778746,-79.307887,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Motorcycle Driver,35,Non-Fatal
970644,2007,2007/05/20 04:00:00+00,440,STEELES AVE E,MIDLAND AVE,Major Arterial,Scarborough,2223,43.825945,-79.29729,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,19,Non-Fatal
972841,2007,2007/06/01 04:00:00+00,1910,ELLESMERE RD,BRIMLEY RD,Major Arterial,Scarborough,21,43.770045,-79.26129,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,48,Non-Fatal
972843,2007,2007/06/02 04:00:00+00,2,BLOOR ST E,DRUMSNAB RD,Major Arterial,Toronto and East York,11,43.674243,-79.367488,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,42,Fatal
972932,2007,2007/06/02 04:00:00+00,226,ISLINGTON AVE,FINCH AVE W,Major Arterial,Etobicoke York,17,43.746245,-79.56859,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,27,Fatal
972932,2007,2007/06/02 04:00:00+00,226,ISLINGTON AVE,FINCH AVE W,Major Arterial,Etobicoke York,17,43.746245,-79.56859,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Passenger,18,Fatal
972932,2007,2007/06/02 04:00:00+00,226,ISLINGTON AVE,FINCH AVE W,Major Arterial,Etobicoke York,17,43.746245,-79.56859,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Passenger,18,Fatal
974080,2007,2007/06/08 04:00:00+00,809,BAYVIEW AVE,FIFESHIRE RD,Major Arterial,North York,15,43.760445,-79.38659,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,48,Fatal
975035,2007,2007/06/14 04:00:00+00,1124,COLLEGE ST,GRACE ST,Major Arterial,Toronto and East York,11,43.654945,-79.41559,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Non-Fatal
977223,2007,2007/06/30 04:00:00+00,212,BURRARD RD,CAULFIELD RD,Local,Etobicoke York,1,43.716345,-79.55349,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,7,Fatal
978249,2007,2007/07/01 04:00:00+00,805,ELLESMERE RD,KENNEDY RD,Major Arterial,Scarborough,21,43.765745,-79.28109,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Driver,32,Fatal
978116,2007,2007/07/05 04:00:00+00,530,BRAYMORE BLVD,BLACKTOFT DR,Collector,Scarborough,25,43.803145,-79.17689,Intersection,Intersection Related,No Control,Fog,Dark,Slush,Non-Fatal,Turning Movement,Passenger,58,Non-Fatal
979400,2007,2007/07/11 04:00:00+00,2013,MCCOWAN RD,BRIDLEGROVE DR,Minor Arterial,Scarborough,20,43.735245,-79.23669,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,22,Fatal
